Original_Order,MG_Glut,K_Glut,DTT,T7_RNAP,Well,Plate,AqueousMasterMixTube,ComponentsMasterMixTube
103,3.0,130.0,1.2,0.01,B2,1,A1,B1
125,3.0,80.0,0.7,0.1,B4,1,A4,B10
122,6.5,157.7,0.95,0.06,B6,1,A7,D4
45,10.0,130.0,1.2,0.01,B8,1,A9,B1
31,10.0,130.0,1.2,0.1,B10,1,A9,B10
119,3.0,80.0,1.2,0.1,B12,1,A11,B10
74,10.0,80.0,1.2,0.1,B14,1,A14,B10
35,6.5,105.0,0.95,0.06,B16,1,A16,D4
4,6.5,52.3,0.95,0.06,B18,1,C7,D4
128,3.0,80.0,0.7,0.1,B20,1,A4,B10
63,6.5,105.0,0.42,0.06,B22,1,C8,D4
107,10.0,80.0,0.7,0.01,D2,1,C10,B1
0,6.5,52.3,0.95,0.06,D4,1,C7,D4
108,10.0,80.0,0.7,0.01,D6,1,C10,B1
118,3.0,80.0,1.2,0.1,D8,1,A11,B10
133,6.5,105.0,0.95,0.06,D10,1,A16,D4
33,10.0,130.0,1.2,0.1,D12,1,A9,B10
24,3.0,130.0,0.7,0.1,D14,1,C13,B10
124,6.5,157.7,0.95,0.06,D16,1,A7,D4
38,6.5,105.0,0.95,0.06,D18,1,A16,D4
8,3.0,105.0,0.95,0.06,D20,1,C16,D4
5,3.0,105.0,0.95,0.06,D22,1,C16,D4
16,13.88,105.0,0.95,0.06,F2,1,E2,D4
13,10.0,130.0,0.7,0.01,F4,1,E3,B1
82,3.0,130.0,1.2,0.1,F6,1,A1,B10
105,10.0,80.0,0.7,0.01,F8,1,C10,B1
28,10.0,130.0,0.7,0.1,F10,1,E3,B10
20,3.0,130.0,0.7,0.1,F12,1,C13,B10
42,6.5,105.0,0.95,0.06,F14,1,A16,D4
86,10.0,80.0,0.7,0.1,F16,1,C10,B10
37,6.5,105.0,0.95,0.06,F18,1,A16,D5
29,10.0,130.0,0.7,0.1,F20,1,E3,B11
62,6.5,105.0,0.42,0.06,F22,1,C8,D5
91,6.5,105.0,0.95,0.15,H2,1,A16,D14
90,6.5,105.0,0.95,0.15,H4,1,A16,D14
93,6.5,105.0,0.95,0.15,H6,1,A16,D14
19,13.88,105.0,0.95,0.06,H8,1,E2,D5
89,10.0,80.0,0.7,0.1,H10,1,C10,B11
23,3.0,130.0,0.7,0.1,H12,1,C13,B11
9,3.0,105.0,0.95,0.06,H14,1,C16,D5
102,3.0,130.0,1.2,0.01,H16,1,A1,B1
116,3.0,80.0,1.2,0.1,H18,1,A11,B11
59,10.0,80.0,1.2,0.01,H20,1,A14,B1
112,6.5,105.0,0.95,0.06,H22,1,A16,D5
60,6.5,105.0,0.42,0.06,J2,1,C8,D5
88,10.0,80.0,0.7,0.1,J4,1,C10,B11
131,6.5,105.0,0.95,0.06,J6,1,A16,D5
139,3.0,80.0,0.7,0.01,J8,1,A4,B1
115,3.0,80.0,1.2,0.1,J10,1,A11,B11
21,3.0,130.0,0.7,0.1,J12,1,C13,B11
11,10.0,130.0,0.7,0.01,J14,1,E3,B1
79,3.0,80.0,1.2,0.01,J16,1,A11,B1
101,3.0,130.0,1.2,0.01,J18,1,A1,B1
136,3.0,80.0,0.7,0.01,J20,1,A4,B2
65,3.0,130.0,0.7,0.01,J22,1,C13,B2
81,3.0,130.0,1.2,0.1,L2,1,A1,B11
104,3.0,130.0,1.2,0.01,L4,1,A1,B2
41,6.5,105.0,0.95,0.06,L6,1,A16,D5
53,6.5,105.0,0.95,0.01,L8,1,A16,B2
44,6.5,105.0,0.95,0.06,L10,1,C1,D5
51,6.5,105.0,0.95,0.01,L12,1,C1,B2
72,10.0,80.0,1.2,0.1,L14,1,A14,B11
135,3.0,80.0,0.7,0.01,L16,1,A4,B2
120,6.5,157.7,0.95,0.06,L18,1,A7,D5
12,10.0,130.0,0.7,0.01,L20,1,E3,B2
114,6.5,105.0,0.95,0.06,L22,1,C1,D5
56,10.0,80.0,1.2,0.01,N2,1,A14,B2
50,6.5,105.0,0.95,0.01,N4,1,C1,B2
121,6.5,157.7,0.95,0.06,N6,1,A7,D5
129,3.0,80.0,0.7,0.1,N8,1,A4,B11
87,10.0,80.0,0.7,0.1,B2,2,A1,B1
43,6.5,105.0,0.95,0.06,B4,2,A3,B9
1,6.5,52.3,0.95,0.06,B6,2,A9,B9
71,10.0,80.0,1.2,0.1,B8,2,A11,B1
54,6.5,105.0,0.95,0.01,B10,2,A3,D4
14,10.0,130.0,0.7,0.01,B12,2,A14,D4
6,3.0,105.0,0.95,0.06,B14,2,C1,B9
26,10.0,130.0,0.7,0.1,B16,2,A14,B1
70,10.0,80.0,1.2,0.1,B18,2,A11,B1
100,3.0,130.0,1.2,0.01,B20,2,C2,D4
30,10.0,130.0,1.2,0.1,B22,2,C4,B1
117,3.0,80.0,1.2,0.1,D2,2,C7,B1
15,13.88,105.0,0.95,0.06,D4,2,C10,B9
18,13.88,105.0,0.95,0.06,D6,2,C10,B9
77,3.0,80.0,1.2,0.01,D8,2,C7,D4
22,3.0,130.0,0.7,0.1,D10,2,C12,B1
10,10.0,130.0,0.7,0.01,D12,2,A14,D4
58,10.0,80.0,1.2,0.01,D14,2,A11,D4
95,6.5,105.0,1.48,0.06,D16,2,C15,B9
75,3.0,80.0,1.2,0.01,D18,2,C7,D4
64,6.5,105.0,0.42,0.06,D20,2,E2,B9
69,3.0,130.0,0.7,0.01,D22,2,C12,D4
3,6.5,52.3,0.95,0.06,F2,2,A9,B9
40,6.5,105.0,0.95,0.06,F4,2,A3,B9
76,3.0,80.0,1.2,0.01,F6,2,C7,D4
34,10.0,130.0,1.2,0.1,F8,2,C4,B1
27,10.0,130.0,0.7,0.1,F10,2,A14,B1
94,6.5,105.0,0.95,0.15,F12,2,A3,D14
85,10.0,80.0,0.7,0.1,F14,2,A1,B1
97,6.5,105.0,1.48,0.06,F16,2,C15,B9
52,6.5,105.0,0.95,0.01,F18,2,A3,D4
92,6.5,105.0,0.95,0.15,F20,2,A3,D14
99,6.5,105.0,1.48,0.06,F22,2,C15,B9
7,3.0,105.0,0.95,0.06,H2,2,C1,B9
48,10.0,130.0,1.2,0.01,H4,2,C4,D4
61,6.5,105.0,0.42,0.06,H6,2,E2,B10
127,3.0,80.0,0.7,0.1,H8,2,E3,B1
110,6.5,105.0,0.95,0.06,H10,2,A3,B10
137,3.0,80.0,0.7,0.01,H12,2,E3,D4
39,6.5,105.0,0.95,0.06,H14,2,A3,B10
84,3.0,130.0,1.2,0.1,H16,2,C2,B1
2,6.5,52.3,0.95,0.06,H18,2,A9,B10
67,3.0,130.0,0.7,0.01,H20,2,C12,D5
55,10.0,80.0,1.2,0.01,H22,2,A11,D5
49,10.0,130.0,1.2,0.01,J2,2,C4,D5
68,3.0,130.0,0.7,0.01,J4,2,C12,D5
80,3.0,130.0,1.2,0.1,J6,2,C2,B2
132,6.5,105.0,0.95,0.06,J8,2,A3,B10
36,6.5,105.0,0.95,0.06,J10,2,A3,B10
78,3.0,80.0,1.2,0.01,J12,2,C7,D5
134,6.5,105.0,0.95,0.06,J14,2,A3,B10
25,10.0,130.0,0.7,0.1,J16,2,A14,B2
111,6.5,105.0,0.95,0.06,J18,2,A3,B10
130,6.5,105.0,0.95,0.06,J20,2,A4,B10
46,10.0,130.0,1.2,0.01,J22,2,C4,D5
32,10.0,130.0,1.2,0.1,L2,2,C4,B2
73,10.0,80.0,1.2,0.1,L4,2,A11,B2
47,10.0,130.0,1.2,0.01,L6,2,C4,D5
138,3.0,80.0,0.7,0.01,L8,2,E3,D5
113,6.5,105.0,0.95,0.06,L10,2,A4,B10
96,6.5,105.0,1.48,0.06,L12,2,C15,B10
57,10.0,80.0,1.2,0.01,L14,2,A11,D5
