"","run.order","std.order","lysate_aspirate_rate","lysate_dispense_rate","substrates_aspirate_rate","substrates_dispense_rate"
"1",1,10,1.26,0.4,0.95,0.95
"2",2,9,0.24,0.4,0.95,0.95
"3",3,78,1,0.6,1.2,1.2
"4",4,13,0.5,0.6,0.7,0.7
"5",5,52,0.5,0.6,0.7,1.2
"6",6,82,0.75,0.4,0.95,0.95
"7",7,22,0.75,0.4,1.46,0.95
"8",8,79,1,0.6,1.2,1.2
"9",9,35,0.75,0.2,0.95,0.95
"10",10,36,1,0.6,1.2,0.7
"11",11,12,0.5,0.6,0.7,0.7
"12",12,18,1.26,0.4,0.95,0.95
"13",13,74,0.5,0.6,1.2,1.2
"14",14,1,0.5,0.2,0.7,0.7
"15",15,50,1,0.2,0.7,1.2
"16",16,63,0.5,0.2,1.2,1.2
"17",17,81,0.75,0.4,0.95,0.95
"18",18,44,0.5,0.2,0.7,1.2
"19",19,32,0.75,0.4,0.95,1.46
"20",20,38,1,0.6,1.2,0.7
"21",21,47,1,0.2,0.7,1.2
"22",22,6,0.75,0.4,1.46,0.95
"23",23,27,0.75,0.2,0.95,0.95
"24",24,48,1,0.2,0.7,1.2
"25",25,41,0.5,0.2,0.7,1.2
"26",26,23,0.75,0.4,0.95,0.44
"27",27,30,0.75,0.4,1.46,0.95
"28",28,5,0.75,0.4,0.44,0.95
"29",29,29,1,0.2,1.2,0.7
"30",30,76,1,0.6,1.2,1.2
"31",31,40,0.75,0.4,0.95,1.46
"32",32,70,1,0.2,1.2,1.2
"33",33,67,1,0.2,1.2,1.2
"34",34,11,0.5,0.6,0.7,0.7
"35",35,33,0.5,0.6,1.2,0.7
"36",36,28,1,0.2,1.2,0.7
"37",37,75,0.5,0.6,1.2,1.2
"38",38,17,1,0.6,0.7,0.7
"39",39,45,0.5,0.2,0.7,1.2
"40",40,19,0.75,0.2,0.95,0.95
"41",41,62,0.5,0.2,1.2,1.2
"42",42,24,0.75,0.4,0.95,1.46
"43",43,37,1,0.6,1.2,0.7
"44",44,8,0.75,0.4,0.95,1.46
"45",45,41,0.75,0.4,0.95,0.95
"46",46,53,0.5,0.6,0.7,1.2
"47",47,54,0.5,0.6,0.7,1.2
"48",48,39,1,0.6,1.2,0.7
"49",49,20,1,0.6,0.7,0.7
"50",50,73,0.5,0.6,1.2,1.2
"51",51,30,1,0.2,1.2,0.7
"52",52,36,0.75,0.8,0.95,0.95
"53",53,39,0.75,0.4,0.95,0.44
"54",54,33,0.24,0.4,0.95,0.95
"55",55,34,0.5,0.6,1.2,0.7
"56",56,42,0.5,0.2,0.7,1.2
"57",57,29,0.75,0.4,0.44,0.95
"58",58,37,0.75,0.4,0.44,0.95
"59",59,2,1.26,0.4,0.95,0.95
"60",60,23,0.5,0.2,1.2,0.7
"61",61,65,0.5,0.2,1.2,1.2
"62",62,18,1,0.6,0.7,0.7
"63",63,68,1,0.2,1.2,1.2
"64",64,26,1,0.2,1.2,0.7
"65",65,40,1,0.6,1.2,0.7
"66",66,38,0.75,0.4,1.46,0.95
"67",67,32,0.5,0.6,1.2,0.7
"68",68,77,1,0.6,1.2,1.2
"69",69,14,0.75,0.4,1.46,0.95
"70",70,15,0.75,0.4,0.95,0.44
"71",71,7,1,0.2,0.7,0.7
"72",72,15,0.5,0.6,0.7,0.7
"73",73,12,0.75,0.8,0.95,0.95
"74",74,21,0.75,0.4,0.44,0.95
"75",75,56,1,0.6,0.7,1.2
"76",76,57,1,0.6,0.7,1.2
"77",77,46,1,0.2,0.7,1.2
"78",78,60,1,0.6,0.7,1.2
"79",79,22,0.5,0.2,1.2,0.7
"80",80,26,1.26,0.4,0.95,0.95
"81",81,71,0.5,0.6,1.2,1.2
"82",82,17,0.24,0.4,0.95,0.95
"83",83,42,0.75,0.4,0.95,0.95
"84",84,16,0.75,0.4,0.95,1.46
"85",85,49,1,0.2,0.7,1.2
"86",86,34,1.26,0.4,0.95,0.95
"87",87,24,0.5,0.2,1.2,0.7
"88",88,35,0.5,0.6,1.2,0.7
"89",89,28,0.75,0.8,0.95,0.95
"90",90,6,1,0.2,0.7,0.7
"91",91,25,0.24,0.4,0.95,0.95
"92",92,7,0.75,0.4,0.95,0.44
"93",93,4,0.5,0.2,0.7,0.7
"94",94,43,0.5,0.2,0.7,1.2
"95",95,69,1,0.2,1.2,1.2
"96",96,31,0.5,0.6,1.2,0.7
"97",97,5,0.5,0.2,0.7,0.7
"98",98,13,0.75,0.4,0.44,0.95
"99",99,8,1,0.2,0.7,0.7
"100",100,31,0.75,0.4,0.95,0.44
"101",101,58,1,0.6,0.7,1.2
"102",102,3,0.5,0.2,0.7,0.7
"103",103,11,0.75,0.2,0.95,0.95
"104",104,21,0.5,0.2,1.2,0.7
